diameter,x_midpoint,y_midpoint
56.6220641529,479.992360664,171.102226533
46.1511014227,487.763424926,176.866712114
39.6955599894,471.887712203,171.391937586
37.2660581222,452.65473025,208.082066996
47.555530652,439.715189842,107.430845477
67.0611606294,437.688365951,120.087246718
51.6347576422,416.445166867,178.969797487
56.2865136696,407.169907193,176.372859584
55.0614252101,399.435097758,170.393841109
41.0680244178,393.999872604,225.782745999
45.6258904759,358.344461379,222.078115115
44.5789935423,352.035164513,223.780212775
39.3475767166,343.249285032,223.859504918
1.36091134202,324.592291384,208.54307922
44.2805984874,309.15918094,226.77194003
49.2082980708,350.2005699,172.301443644
57.4419327553,337.188258627,171.980981917
53.1961266399,333.560568851,160.583231912
43.1386260648,254.386612625,164.288501632
35.4522420958,238.212818048,156.921810915
43.7104113856,241.53400862,209.088462081
39.2569820455,229.365509147,200.900600251
38.4036206407,225.306575135,198.058869362
61.3542121291,176.189150676,224.411993915
60.5742559612,173.594352254,222.695287132
57.2034502324,198.661829631,165.769026726
53.870966828,200.625,102.616874116
49.4374887279,163.27975776,146.196613887
45.3553750873,153.623051765,162.712217355
93.6290977138,120.583767621,198.823036379
100.279058657,103.801841188,196.596531236
117.434374606,69.189437852,188.124465477
110.546427995,46.7926222034,168.727729253
88.1785576182,37.0650105889,145.853387253
73.27979156,22.0294365141,119.47336217
48.8703917954,16.7384768147,104.108350426
53.2792414516,11.227038599,100.082699252
45.8167537178,7.34727003697,95.6871232699
1.57094985491,507.358185853,190.950094771
146.541066492,33.375,173.048076052
134.778847367,48.5832285922,178.936896187
83.0552101355,129.547495555,204.8092468
63.7510894543,153.310925207,214.652538511
49.3533548682,185.377598764,221.649467361
37.5647620845,200.375296927,227.536250025
5.76040289474,237.196789046,243.306118139
5.79308477512,252.374962315,243.4295014
44.090481465,248.692924604,216.85850781
44.7677085055,246.129434808,214.649461533
77.1560011094,243.423973232,215.16196496
34.3195336775,288.369748155,229.183390114
35.5381573791,296.562640597,228.722418608
44.6338907967,353.593177793,224.004630247
46.8027104789,367.293387006,220.11323118
50.5189820622,359.681365915,223.704590205
40.6483656827,397.375,225.994426457
40.1006819494,412.375,226.268268323
35.4657915586,427.425929854,228.589735763
15.3056189418,484.369033325,238.687393659
30.419223869,478.452373966,242.154220807
39.2883719317,20.4614920346,4.8216970126
143.541065835,72.4519236195,19.375
69.9051676196,35.6339745117,34.375
68.8667432559,100.891950155,60.8912232427
113.955076676,90.9535499721,31.6418276038
68.7466628365,155.009095863,35.4763006358
69.75952856,181.912045665,35.5940299816
69.6267871805,195.765820979,36.036317248
57.7992497869,242.127146965,62.7942996067
71.6395692133,226.410667162,36.5002115845
72.2439851598,247.636705582,37.2592491864
72.7891937943,306.375,36.9240124009
75.127955142,352.279730356,37.7644616009
72.7262811316,345.070552273,37.1436109723
74.7687860698,375.767598451,38.2190991351
78.768738307,417.949094506,40.2273753373
64.6917528848,478.860993746,33.4849892424
62.3544109159,488.063433855,32.2752562924
16.3568353251,504.818179279,72.4908274502
33.2191149278,500.009984235,82.322036741
37.3967300804,493.575887212,86.3431694807
33.1631760155,486.578732832,86.2397236912
22.9614409266,472.672102961,86.1832968408
18.9975747672,467.274458277,87.0390367544
14.6932556575,44.1210729559,80.5983169529
44.682631228,84.0747883445,93.5431657653
49.1473639913,90.4997456364,95.6890500751
62.9610611155,108.440486217,102.115063336
63.33685193,111.408632765,104.081495524
57.8425088607,132.814496277,119.247985051
45.8332658012,249.665010598,92.854183374
48.1950402259,253.799532016,107.633673095
49.1334487097,255.040121998,112.602994561
50.7348694851,257.098900221,120.547561735
51.0144123703,256.901300228,119.976527144
45.5410867347,310.338834105,119.857894401
45.1065232532,311.590879965,125.250892734
25.4200046243,386.982866419,87.3384250316
40.581899038,396.761781551,98.4147860712
33.7278862156,398.493900565,110.700778968
29.0255968883,399.629614908,117.360616752
19.6892869084,400.044575089,126.661893539
46.5535014718,484.803965791,136.428807958
43.4804861375,490.129899184,131.203526792
2.06752973722,133.79669864,154.170405539
48.9933166022,160.282271576,144.781871027
54.9761057915,187.946579366,161.692735178
56.6999747583,193.766219606,163.944747911
57.6709421665,200.160481614,167.149430351
1.30126193353,312.1306555,185.579513766
3.31723799093,443.5320772,199.343003606
30.2810708329,478.213398264,212.944044563
34.206409008,270.661359822,221.85036393
15.9475677325,276.057085604,215.912810605
51.2918532424,296.158346213,182.319581209
55.3685548069,295.616652416,180.843882676
67.303876982,281.58441805,177.287028355
47.2140489911,257.350263132,223.643272955
15.0657219954,332.02207861,213.354591506
16.4034217897,483.895020091,238.126530257
1.19942729417,341.103027549,243.477337861
